source_cluster,destination_cluster,hour, count, passengers, fare, trip time, trip distance, JFK trips, credit payments, cash payments
10,1,22,57,1.51,48.03,29.7,13.65,0.02,0.67,0.33
15,20,12,133,1.92,63.2,53.78,20.35,0.45,0.47,0.53
18,18,22,17329,1.72,9.41,7.28,1.41,0,0.58,0.42
20,3,15,30,1.5,20.5,17.2,4.6,0,0.27,0.73
7,7,19,348,1.77,10.98,9.05,1.84,0,0.3,0.7
2,10,21,5703,1.66,22.29,18.16,5.16,0,0.76,0.23
5,29,21,177,1.76,56.84,39.77,15.39,0.03,0.69,0.3
2,23,20,2266,1.72,12.56,12.12,2.06,0,0.72,0.28
12,10,19,17,1.88,20.72,19.65,4.94,0,0.65,0.35
21,2,12,1216,1.68,47.83,36.87,12.76,0,0.77,0.23
5,10,0,51918,1.7,19.16,17.3,214.31,0,0.73,0.27
18,28,14,3004,1.68,12.95,12,2.5,0,0.56,0.44
2,12,22,162,1.66,30.51,32.07,7.51,0,0.57,0.42
7,10,9,649,1.71,14.52,15.16,2.72,0,0.5,0.5
10,12,21,148,1.8,35.51,26.87,9.42,0.01,0.6,0.39
5,3,23,3821,1.71,42.97,35.96,11.1,0,0.68,0.32
7,7,16,420,1.68,10.74,9.55,1.86,0,0.21,0.77
15,1,13,88,1.72,65.86,39.8,18.2,0.01,0.43,0.56
21,10,2,238,1.88,33.01,15.67,8.6,0,0.77,0.23
10,10,0,17353,1.69,11.51,9.27,2.15,0,0.55,0.44
2,10,5,629,1.54,20.5,14.01,5.18,0,0.58,0.41
10,26,23,3,3,83.19,37.33,17.13,0,0.67,0.33
18,2,4,173,1.86,24.27,18.5,6.29,0,0.7,0.3
2,10,8,1480,1.58,24.13,22.58,5.68,0,0.72,0.27
10,9,21,1502,1.73,23.5,20.67,5.38,0,0.63,0.37
5,3,21,3104,1.68,42.9,31.55,11.11,0,0.71,0.28
5,10,14,33487,1.69,15.98,18.17,2.71,0,0.58,0.42
28,18,8,1586,1.68,12.84,14.1,2.4,0,0.68,0.31
18,20,2,806,1.86,24.12,16.21,6.79,0,0.55,0.44
15,9,13,738,1.7,44.14,39.04,13.15,0.01,0.38,0.6
18,9,11,116,1.73,42.53,49.5,9.74,0,0.69,0.29
20,20,13,128,1.63,9.98,19.67,1.91,0.01,0.33,0.66
10,15,16,703,1.82,64.87,57.99,18.09,0.94,0.72,0.28
5,10,9,21066,1.65,15.97,18.04,2.77,0,0.58,0.41
10,22,20,15,1.93,55.75,34.73,15.83,0,0.47,0.53
10,10,18,32428,1.73,9.92,7.93,1.48,0,0.51,0.49
18,10,8,13277,1.62,11.94,12.51,1.92,0,0.65,0.35
15,9,10,465,1.61,40.19,32.26,12.17,0,0.35,0.64
15,2,15,1001,1.77,61.69,62.83,18.2,0.46,0.7,0.3
2,10,14,1868,1.72,24.14,24.22,5.56,0,0.62,0.38
5,23,12,16027,1.67,13.3,14.64,2.13,0,0.66,0.34
2,9,19,485,1.64,27.78,24.09,6.24,0,0.68,0.31
5,1,9,48,1.73,58.43,65.38,15.3,0.02,0.65,0.33
7,10,20,173,1.74,15.56,12.29,3.16,0.01,0.47,0.53
23,9,20,251,1.5,35.74,30.8,8.32,0,0.74,0.25
21,3,16,654,1.72,32.18,30.56,8.11,0,0.42,0.58
10,10,13,29205,1.69,9.05,8.13,1.36,0,0.46,0.54
3,2,2,5,1.2,37.58,21.4,10.92,0,0.4,0.4
9,2,4,62,1.71,19.11,13.73,4.4,0.02,0.63,0.35
9,14,0,2,1.5,71.09,20.5,22.06,0,0,1
20,10,12,65,1.88,26.26,25.2,6.18,0,0.65,0.35
10,7,6,361,1.61,19.6,15.76,4.55,0,0.47,0.52
5,9,0,7920,1.7,31.66,30.02,387.37,0,0.68,0.32
2,9,0,1726,1.67,22.46,20.35,5.23,0,0.61,0.38
5,21,10,6678,1.77,49.11,32.55,11.2,0,0.7,0.3
10,15,22,71,1.7,60.52,34.23,17.35,0.77,0.63,0.32
18,29,19,21,2,64.92,47,18.09,0.14,0.43,0.52
5,12,5,172,1.74,37.94,26.09,10.71,0,0.41,0.58
15,1,1,70,1.73,51.59,24.29,15.57,0.01,0.49,0.5
10,28,14,2046,1.71,14.05,14.67,2.65,0,0.52,0.47
21,23,17,395,1.73,56.35,50.18,12.5,0,0.81,0.19
10,1,23,47,1.68,45.68,32.02,12.9,0,0.57,0.43
28,20,3,246,1.66,14.85,10.48,3.52,0,0.4,0.59
23,18,15,1492,1.76,20.34,24.19,3.73,0,0.62,0.37
23,10,9,704,1.57,27.74,29.87,5.68,0,0.73,0.27
10,2,19,1882,1.72,24.84,20.85,6.02,0,0.74,0.25
10,10,7,24421,1.64,9.08,7.91,1.45,0,0.57,0.43
18,7,16,99,1.78,31.28,38.22,6.2,0,0.43,0.57
15,18,12,693,1.77,63.2,65.26,20.2,0.99,0.57,0.42
10,28,0,1927,1.61,14.85,12.04,3.3,0,0.52,0.47
10,3,1,935,1.75,25.84,18.22,7.14,0,0.42,0.57
9,9,1,628,1.63,11.81,10.58,2.4,0,0.37,0.61
10,3,0,1148,1.75,25.65,19.54,6.95,0,0.41,0.58
23,20,14,28,1.43,42.88,38.71,10.64,0,0.79,0.21
5,29,3,120,1.58,51.99,31.87,15.49,0.03,0.48,0.52
5,9,19,1895,1.66,35.74,32.93,8.2,0,0.69,0.31
15,3,21,956,1.76,38.51,25.87,11.9,0.01,0.37,0.63
5,9,2,6385,1.72,28.44,25.51,7.29,0,0.62,0.38
23,28,2,364,1.73,28.04,24.5,7.58,0,0.65,0.34
5,28,20,3410,1.6,25.21,21.42,6.08,0,0.71,0.29
9,5,13,464,1.72,43.96,35.93,9.14,0.08,0.75,0.25
18,12,7,19,1.58,51.45,32.42,13.64,0,0.58,0.37
5,5,22,190828,1.74,11.33,10.83,4.38,0,0.62,0.37
10,5,13,26289,1.69,16.65,19.68,2.71,0,0.58,0.42
4,11,20,2,1,29.78,19.5,6,0,1,0
18,18,19,25233,1.71,9.67,7.5,1.34,0,0.55,0.45
21,9,8,392,1.72,32.61,31.16,8.89,0,0.58,0.41
15,9,19,812,1.76,44.45,36.51,13.27,0.01,0.45,0.54
28,20,22,389,1.7,16.84,13.6,3.81,0,0.52,0.48
15,3,23,1204,1.72,37.2,23,11.62,0.01,0.34,0.66
20,2,4,3,1,43.24,25,12.7,0,0.67,0.33
5,9,14,1097,1.71,40.4,38.87,8084.25,0.01,0.69,0.3
2,10,15,1695,1.68,25.06,29.14,5.52,0,0.65,0.35
10,25,22,38,1.47,41.37,28.66,11.84,0,0.37,0.58
2,10,18,3021,1.67,24.71,24.68,5.34,0,0.72,0.28
10,7,1,1804,1.71,17.04,13.78,3.96,0,0.42,0.57
10,9,7,462,1.74,23.71,16.98,5.26,0,0.61,0.38
18,10,9,13463,1.64,12.1,13.28,1.95,0,0.61,0.39
5,20,21,2463,1.67,35.89,27.02,9.86,0,0.72,0.28
18,10,11,15682,1.65,12.03,12.89,1.87,0,0.56,0.44
5,13,7,57,1.58,65.7,34.28,15.66,0.95,0.9,0.1
15,3,15,799,1.73,41.03,39.93,12.06,0.01,0.29,0.7
9,9,9,277,1.57,11.51,8.58,2.28,0,0.39,0.59
15,2,9,396,1.62,62.14,58.69,19.93,0.57,0.75,0.25
28,18,22,969,1.72,12.72,12.59,2.35,0,0.62,0.37
9,3,16,59,1.63,27.16,24.39,6.5,0,0.53,0.46
9,9,20,268,1.63,14.87,10.89,3.14,0.01,0.47,0.51
10,9,2,2115,1.74,18.12,14.16,4.18,0,0.56,0.43
5,10,2,31098,1.71,18.84,15.53,4.35,0,0.7,0.29
18,3,21,591,1.66,37.47,27.15,10.01,0,0.63,0.37
10,5,5,8491,1.56,13.57,10.9,2.94,0,0.66,0.34
23,29,3,14,2,51.77,35.5,16.07,0,0.57,0.43
5,20,12,667,1.74,36.39,31.17,9.78,0,0.51,0.49
3,20,2,43,1.81,17.62,12.84,4.13,0.02,0.37,0.63
10,10,15,31925,1.72,9.15,8.84,1.36,0,0.46,0.54
10,10,22,26380,1.71,10.71,8.31,1.87,0,0.56,0.44
23,10,23,3836,1.7,25.4,24.11,5.52,0,0.79,0.2
21,15,13,257,1.79,39.34,32.16,12.28,0.01,0.53,0.46
10,3,4,509,1.65,25,19.52,7.08,0,0.35,0.63
23,4,1,3,1.33,107.99,54,20.57,0,0.67,0.33
9,10,6,385,1.7,17.39,13.28,3.89,0,0.48,0.52
5,10,19,54855,1.66,16.72,15.72,2.95,0,0.69,0.3
20,20,20,185,1.69,10.38,7.93,1.92,0.01,0.34,0.65
21,1,23,88,1.6,47.72,22.03,13.13,0,0.53,0.43
23,23,19,3502,1.71,10.57,9.45,1.52,0,0.66,0.34
23,18,13,1282,1.71,20.22,22.84,3.82,0,0.67,0.33
7,3,0,173,1.73,20.72,14.61,5.25,0,0.44,0.55
5,29,20,131,1.89,55.55,40.58,15.01,0.07,0.62,0.37
15,25,18,23,2.57,53.4,35.17,15.99,0,0.17,0.78
23,12,23,52,1.65,43.39,32.48,10.41,0,0.6,0.38
15,17,6,26,1.46,51.16,68.96,14.91,0,0.42,0.58
10,2,21,2590,1.69,23.66,17.5,5.78,0,0.73,0.26
18,23,15,1427,1.76,20.47,23.71,3.84,0,0.71,0.29
5,9,1,7329,1.74,29.37,25.96,7.33,0,0.64,0.35
18,2,12,1045,1.8,28.58,29.06,6.43,0,0.6,0.4
9,2,1,112,1.6,19.72,14.86,4.48,0,0.63,0.37
20,20,0,354,1.62,11.14,12.14,2.24,0,0.38,0.61
3,3,23,197,1.68,15.2,10.34,3.4,0,0.41,0.58
10,2,9,3976,1.63,26.4,20.81,6.75,0,0.78,0.22
12,16,12,1,2,17.34,5,3.52,0,0,1
9,17,7,1,1,37.8,33,12.6,0,0,1
3,5,8,98,1.62,43.27,46.63,9.51,0.34,0.68,0.31
21,2,11,1403,1.7,49.89,38.08,13.04,0,0.8,0.2
15,7,20,414,1.76,41.75,30.3,12.89,0.02,0.45,0.54
5,23,14,15457,1.69,13.19,14.3,2.08,0,0.66,0.34
21,20,20,246,1.77,42.31,22.71,10.88,0,0.61,0.38
15,3,16,922,1.72,41.6,38.84,11.92,0.01,0.34,0.65
7,10,6,942,1.57,15.78,15.03,3.63,0,0.39,0.61
10,9,18,813,1.7,25.83,30.46,5.49,0,0.6,0.39
5,10,5,8790,1.64,16.4,13.36,3.92,0,0.5,0.49
10,5,14,25662,1.71,16.62,19.54,2.68,0,0.58,0.42
7,15,18,21,2.1,55.76,37.33,12.72,0.48,0.52,0.48
20,5,22,110,1.52,32.11,22.41,8.72,0,0.7,0.3
5,3,6,490,1.52,36.54,28.51,10.67,0.01,0.42,0.57
2,15,13,452,1.67,62.58,58.55,20.33,0.86,0.75,0.25
5,9,18,1330,1.77,36.7,36.23,7.89,0,0.69,0.3
28,20,2,319,1.57,15.59,11.14,3.65,0,0.46,0.53
18,28,8,2764,1.63,12.11,9.71,2.27,0,0.67,0.33
9,2,8,129,1.48,39.85,34.5,9.22,0.02,0.77,0.22
10,20,4,371,1.73,25.7,19.63,7.34,0,0.42,0.56
13,15,11,5,1.2,23.54,23.8,9.8,0.2,0.6,0.4
10,28,5,520,1.53,13.01,8.96,2.87,0,0.41,0.58
21,14,10,7,1.71,67.7,39.43,17.66,0,0.57,0.43
15,3,7,750,1.74,40.39,40.31,11.45,0.01,0.35,0.64
18,20,16,580,1.81,25.76,25.65,6.09,0,0.56,0.43
2,10,22,6190,1.69,21.45,17.28,5.01,0,0.75,0.25
5,3,10,514,1.68,43.28,37.61,11.2,0.01,0.53,0.46
18,1,8,29,1.59,52.01,31.69,13.38,0,0.69,0.28
2,2,12,3479,1.77,11.06,12.51,1.78,0,0.44,0.55
5,15,18,3114,1.8,63.5,55.99,17.44,0.98,0.63,0.37
23,20,0,266,1.63,38.52,28.27,10.61,0,0.72,0.26
15,3,6,853,1.74,38.62,33.25,11.54,0,0.37,0.62
15,15,20,465,1.73,15.26,13.88,4.48,0.03,0.28,0.65
9,3,1,137,1.72,22.62,25.01,5.94,0,0.42,0.58
23,10,7,624,1.6,24.76,23.69,5.66,0,0.77,0.22
15,2,13,929,1.7,61.04,59.21,19.07,0.47,0.64,0.36
18,20,19,1051,1.72,25.04,18.34,6.39,0,0.64,0.35
9,10,22,586,1.73,19.57,13.97,4.22,0.01,0.62,0.37
20,28,22,202,1.72,12.48,9.24,2.45,0,0.5,0.49
10,12,13,43,1.72,32.98,30.93,8.33,0,0.51,0.49
5,12,6,105,1.49,40.25,30.55,10.41,0.01,0.51,0.49
10,12,23,177,1.58,30.24,30.76,8.08,0,0.51,0.48
3,9,11,19,2.32,16.18,12.84,4,0,0.26,0.74
10,10,9,26408,1.66,8.99,7.97,1.36,0,0.52,0.47
7,9,11,79,1.72,13.22,11.1,2.88,0,0.34,0.65
18,12,17,20,2.1,52.23,49.2,11.3,0,0.6,0.4
5,3,20,2101,1.68,42.73,31.68,11.12,0,0.7,0.3
7,10,16,148,1.76,14.32,13.78,2.55,0,0.41,0.59
10,7,3,1039,1.71,17.14,16.22,4.14,0,0.42,0.57
18,2,16,568,1.71,32.48,41,6.66,0,0.64,0.36
18,3,11,191,1.78,38.3,37.08,10.22,0.01,0.52,0.48
23,5,23,16033,1.79,12.53,11.53,2.1,0,0.67,0.33
15,12,13,217,1.62,41.67,30.35,12.16,0,0.32,0.66
15,23,18,298,1.83,65.1,65.15,19.83,0.96,0.69,0.31
10,9,22,2044,1.68,21.9,19.07,5.03,0,0.61,0.39
15,8,16,32,1.78,50.24,36.78,14.76,0,0.25,0.75
23,29,22,9,1.67,66.05,51.78,16.79,0,0.78,0.22
10,7,14,659,1.62,18.63,19.04,3.95,0,0.42,0.57
2,3,22,453,1.67,41.06,30.53,11.25,0,0.69,0.31
10,10,1,12637,1.72,11.52,8.77,556.12,0,0.54,0.45
2,1,12,2,1,59.32,34,14.55,0,0.5,0.5
9,9,17,171,1.77,16.93,15.86,3.21,0,0.42,0.54
18,9,7,127,1.8,38.88,28.3,8.83,0,0.75,0.25
5,3,5,832,1.66,36.91,24.66,10.96,0.01,0.39,0.59
5,12,2,511,1.65,39.37,26.87,11.03,0,0.55,0.44
5,15,11,3149,1.84,63.44,46.29,17.7,0.99,0.62,0.37
2,18,11,864,1.8,28.63,32.22,6.11,0,0.61,0.38
10,3,22,1075,1.59,28.6,21.85,7.72,0,0.46,0.53
2,2,19,4071,1.7,11.82,9.85,1.88,0,0.57,0.43
9,10,19,398,1.64,26.66,21.98,5.83,0.01,0.68,0.32
5,3,1,3090,1.73,39.52,29.12,11.03,0,0.57,0.42
10,10,12,29684,1.71,9.01,8.23,1.34,0,0.46,0.54
10,21,5,2170,1.54,37.37,17.13,8.79,0,0.83,0.17
10,10,17,29017,1.71,10.06,8.49,1.49,0,0.5,0.5
18,10,1,5578,1.66,14.2,12.13,2.85,0,0.66,0.34
2,10,13,1791,1.72,23.8,22.29,5.58,0,0.63,0.37
18,9,23,769,1.71,36.2,33.78,8.63,0,0.71,0.29
9,3,18,62,1.63,29.38,46.13,7.13,0,0.6,0.37
10,20,13,480,1.67,27.84,26.21,6.88,0,0.54,0.46
5,10,22,72325,1.71,17.99,16.97,45.13,0,0.74,0.26
15,5,16,6774,1.8,63.54,64.47,18.12,1,0.57,0.43
15,12,17,227,1.75,42.64,35.58,14.44,0,0.37,0.62
10,3,5,279,1.77,25.82,20.41,7.21,0.02,0.45,0.54
10,9,8,510,1.69,24.79,18.46,5.43,0,0.68,0.32
2,2,7,3096,1.64,10.4,10.38,1.75,0,0.56,0.43
5,3,12,611,1.69,44.45,38.46,11.43,0.03,0.51,0.49
9,12,6,15,1.4,18.33,15.67,4.94,0,0.13,0.87
28,10,8,1317,1.66,13,12.74,2.29,0,0.6,0.39
20,20,14,107,1.63,10.92,9.44,2.09,0.01,0.23,0.76
10,10,21,28585,1.71,10.1,7.65,1.7,0,0.55,0.45
7,10,0,349,1.7,15.75,11.4,3.37,0.01,0.47,0.53
23,3,14,26,2.08,46.64,47.58,11.75,0.04,0.46,0.5
9,2,12,96,1.43,36.84,27.8,9.03,0.02,0.75,0.25
23,9,23,543,1.69,35.52,31.76,8.32,0,0.77,0.23
10,10,3,6995,1.68,11.63,9.26,2.29,0,0.52,0.47
5,5,21,203183,1.73,11.29,10.73,6.62,0,0.62,0.37
10,20,20,771,1.73,26.7,20.75,6.96,0,0.58,0.42
23,9,7,51,1.43,39.65,32.69,9.98,0,0.71,0.29
18,7,2,515,1.75,22.83,18.92,5.79,0,0.48,0.51
10,5,21,25431,1.71,15.54,14.19,2.97,0,0.67,0.33
2,2,11,3167,1.74,10.87,10.87,1.75,0,0.47,0.52
15,25,8,20,2,55.63,75.4,14.97,0,0.4,0.6
5,2,13,14696,1.76,19.84,20.9,4.07,0,0.6,0.4
28,28,16,721,1.75,9.8,10.85,1.43,0,0.39,0.61
23,2,22,3835,1.71,14.7,13.68,2.67,0,0.75,0.25
28,20,21,352,1.67,16.54,13.09,3.77,0,0.52,0.47
20,10,4,35,1.54,26.81,18.97,7.38,0,0.43,0.57
28,20,5,136,1.48,15.18,10.09,3.7,0,0.4,0.59
4,22,22,1,1,13.8,10,2.7,0,1,0
18,7,0,832,1.68,25.37,28.27,5.8,0,0.54,0.45
5,21,12,8480,1.75,49.27,32.01,11.12,0,0.76,0.24
3,9,13,24,1.63,16.02,13.38,3.49,0,0.29,0.71
5,20,15,522,1.76,38.51,46.34,9.62,0,0.54,0.45
15,29,17,276,1.71,24.21,28.32,6.55,0,0.23,0.76
7,15,13,25,1.48,51.92,31.16,13,0.4,0.48,0.52
10,20,18,482,1.69,28.63,31.25,6.7,0,0.57,0.42
15,29,16,361,1.68,22.91,24.35,5.96,0,0.22,0.76
18,9,9,144,1.91,40.15,34.13,9.3,0.01,0.61,0.39
15,5,21,5169,1.82,63.85,42.22,18.25,0.99,0.67,0.33
2,20,16,20,1.5,48.47,116.3,13.18,0,0.4,0.55
10,10,14,31971,1.71,9.13,8.64,1.36,0,0.46,0.54
2,28,22,246,1.73,38.45,28.63,10.4,0,0.83,0.17
2,7,7,36,1.75,34.78,27.17,9.88,0,0.56,0.44
28,20,7,220,1.51,14.91,11.84,3.31,0,0.63,0.36
13,3,19,4,1.25,27.94,25.5,7.62,0,0.5,0.5
15,5,15,6620,1.86,63.47,64.6,18.2,1,0.56,0.44
21,5,6,166,1.52,45.38,27.97,10.89,0,0.86,0.14
5,13,22,40,1.35,56.68,43.58,14.68,0.2,0.6,0.4
10,15,18,665,1.76,63.61,49.14,18.12,0.92,0.72,0.28
15,21,6,249,1.67,40.37,31.25,12,0.01,0.52,0.48
10,9,6,437,1.49,23.9,15.32,5.53,0.01,0.67,0.33
18,5,13,22756,1.73,14.44,16.89,2.24,0,0.54,0.46
18,21,14,1349,1.74,54.83,37.76,11.78,0,0.74,0.25
21,29,9,86,1.56,36.79,23.57,11.77,0,0.38,0.62
18,9,15,165,1.68,43.33,43.26,8.57,0.04,0.77,0.22
21,25,14,12,1.67,56.71,36,16.24,0,0.25,0.75
7,3,15,65,1.74,18.43,19.72,4.4,0,0.26,0.72
7,7,7,1041,1.74,9.14,7.34,1.59,0,0.32,0.68
13,23,11,5,1.4,82.99,64.4,20.16,0.6,0.4,0.6
5,28,12,1382,1.69,25.99,27.58,6.1,0,0.58,0.42
15,9,2,184,1.72,42.49,24.62,13.18,0.01,0.54,0.45
18,9,3,231,1.84,32.54,31.04,8.65,0,0.61,0.38
5,3,0,3518,1.76,40.94,32.41,10.97,0,0.61,0.38
21,3,15,635,1.79,30.53,27.73,8.02,0,0.39,0.59
5,7,17,771,1.71,30.46,36.49,6.02,0,0.55,0.44
2,3,19,174,1.83,43.11,32.84,11.66,0,0.69,0.31
10,28,15,1951,1.68,14.66,17.74,2.69,0,0.51,0.49
5,3,17,610,1.76,47.79,58.14,11,0.02,0.56,0.43
18,20,8,851,1.51,23.22,15.22,5.96,0,0.71,0.28
15,23,9,108,1.73,68.51,61.19,21.47,0.89,0.64,0.35
23,21,15,483,1.64,67.39,50.01,13.72,0,0.84,0.16
18,23,3,124,1.58,16.69,22.94,3.92,0,0.47,0.52
10,3,20,742,1.75,30.09,23.43,7.93,0,0.47,0.52
15,1,18,81,1.6,65.02,39.86,18.22,0,0.44,0.54
5,10,16,26701,1.7,17,18.73,2.75,0,0.6,0.4
18,2,22,1987,1.77,30.74,28.08,7.18,0,0.79,0.21
20,20,22,277,1.72,11.08,13.97,2.17,0,0.33,0.66
21,7,10,454,1.7,16.98,17.32,3.92,0,0.46,0.54
10,10,6,14078,1.57,8.75,7.01,1.53,0,0.56,0.44
7,7,15,483,1.79,10.36,9.94,1.83,0,0.21,0.78
23,7,23,253,1.62,35.93,39.02,8.53,0,0.7,0.3
10,5,20,26766,1.68,15.56,14.42,2.92,0,0.67,0.33
10,7,11,523,1.65,18.28,21.17,3.99,0,0.41,0.59
20,12,22,5,1.6,22.2,14.2,6.2,0,0.2,0.8
28,5,21,699,1.59,24.94,23.33,5.9,0,0.7,0.3
9,21,11,58,1.69,19.4,11.12,4.04,0,0.54,0.46
5,7,5,1586,1.68,24.04,20.96,6.35,0,0.34,0.64
5,28,4,2831,1.78,25.34,19.03,7.03,0,0.55,0.45
10,28,19,2292,1.76,14.79,13.82,2.88,0,0.58,0.42
9,5,10,543,1.67,43.78,36.67,8.79,0.04,0.82,0.18
10,15,14,1019,1.79,63.55,50.15,18.12,0.9,0.7,0.3
3,20,15,15,2.53,19.02,17.8,3.91,0.07,0.27,0.73
2,29,12,9,1.67,55.79,50.44,17.6,0.11,0.44,0.56
5,14,21,24,1.75,72.34,36.42,17.49,0,0.75,0.25
2,3,1,276,1.77,34.94,24.6,9.79,0,0.58,0.42
9,5,1,181,1.97,29.37,23.88,7.12,0.02,0.67,0.31
7,7,0,1239,1.76,10.38,9.06,1.92,0,0.24,0.75
10,20,16,329,1.68,30.98,33.71,6.99,0,0.55,0.44
10,12,17,67,1.72,38.33,38.46,9.58,0.01,0.36,0.63
2,18,1,480,1.64,26.77,27.16,6.52,0,0.82,0.18
2,18,22,1365,1.69,28.21,29.49,6.54,0,0.83,0.17
10,20,10,483,1.55,27.4,22.78,6.96,0,0.62,0.37
2,2,14,3515,1.77,10.84,10.46,1.75,0,0.45,0.54
3,20,0,60,1.48,17.26,12.65,4.2,0,0.3,0.68
18,7,22,783,1.69,26.62,27.24,5.97,0,0.63,0.37
7,7,12,400,1.77,9.92,10.55,1.75,0,0.25,0.74
23,10,0,3466,1.72,25,25.56,5.54,0,0.78,0.22
28,3,3,104,1.87,18.03,12.32,4.51,0,0.36,0.64
21,3,1,276,1.73,27.57,15.25,7.88,0,0.38,0.61
2,9,5,256,1.42,25.2,17.64,6.51,0,0.54,0.44
7,7,21,496,1.81,10.74,8.88,1.91,0,0.27,0.72
7,10,17,183,1.87,15.68,15.14,2.92,0.01,0.35,0.63
10,10,23,22521,1.7,11.28,9.03,2.04,0,0.56,0.43
21,10,17,3370,1.75,37.36,31.59,8.43,0,0.73,0.26
10,20,21,902,1.68,26.24,19.84,6.91,0,0.59,0.4
5,3,19,1410,1.66,43.32,34.98,10.95,0,0.63,0.36
15,9,7,555,1.71,45.95,45.7,12.97,0.01,0.5,0.5
13,5,2,7,2.29,64.39,22.86,15.87,1,0.71,0.29
5,6,1,28,1.71,73.04,41.5,20.33,0,0.71,0.25
9,3,14,43,1.63,25.88,20.05,6.34,0,0.42,0.58
18,21,3,186,1.69,51.63,24.82,12.33,0,0.65,0.35
2,10,11,1521,1.72,24.57,27.83,5.73,0,0.66,0.33
10,3,3,583,1.62,25.7,17.41,7.12,0,0.44,0.54
5,29,18,57,1.7,64.82,57.76,16.16,0.05,0.54,0.44
15,20,6,188,1.6,63.5,48.08,20.34,0.54,0.56,0.42
3,7,22,44,1.91,16.69,13.66,3.83,0.02,0.27,0.7
5,6,14,7,1.29,81.8,67.14,17.64,0,0.57,0.43
5,25,23,100,1.69,54.51,50.69,15.07,0,0.48,0.5
15,28,16,230,1.71,64.19,55.86,18.95,0.96,0.53,0.46
7,5,21,127,1.71,24.32,20.22,5.11,0.03,0.54,0.46
10,7,16,512,1.66,19.36,20.09,3.7,0,0.41,0.59
23,18,12,1279,1.66,20.6,23.43,3.84,0,0.67,0.33
28,4,12,1,1,32.3,22,10.8,0,0,1
2,5,1,4178,1.7,15.73,13.73,3.33,0,0.7,0.3
5,10,8,19147,1.62,15.23,16.03,2.68,0,0.63,0.37
18,5,2,3751,1.68,12.87,11.9,2.54,0,0.58,0.41
5,2,17,10939,1.73,21.19,23.11,3.93,0,0.63,0.36
10,18,6,4309,1.58,10.85,9.49,2.04,0,0.62,0.38
5,4,5,4,1.25,67.4,33,19.43,0,0.5,0.5
18,5,18,22968,1.75,16.6,18.8,2.52,0,0.57,0.43
9,23,8,23,1.13,57.88,46.96,12.82,0.09,1,0
7,9,7,171,1.8,13.26,11.56,2.87,0,0.37,0.63
18,10,17,17025,1.71,12.85,11.84,1.99,0,0.6,0.4
10,10,11,28555,1.68,9.04,8.52,1.34,0,0.46,0.53
18,9,8,144,1.69,40.23,32.44,9.3,0.01,0.72,0.28
5,2,4,5285,1.75,16.02,13.14,3.57,0,0.62,0.38
13,18,9,5,3,60.82,58.6,16.91,1,0.8,0.2
3,15,13,21,1.14,44.24,21.38,8.26,0.43,0.57,0.43
15,12,10,132,1.77,35.91,30.68,10.7,0,0.33,0.65
21,10,19,3461,1.76,35.31,23.01,8.51,0,0.77,0.23
15,29,0,493,1.71,20.38,12.35,5.73,0,0.22,0.77
3,16,18,1,1,145.3,45,23.5,0,1,0
28,18,5,250,1.66,12.78,13.68,2.75,0,0.58,0.42
18,20,9,644,1.61,23.27,15.33,6.09,0,0.68,0.32
2,23,2,273,1.67,12.2,9.12,3.01,0,0.57,0.42
18,23,13,1516,1.72,19.19,21.36,3.82,0,0.7,0.29
9,3,3,115,1.75,21.25,13.51,5.53,0,0.4,0.58
5,3,2,2692,1.7,38.59,28.12,11.15,0,0.54,0.45
5,9,3,5206,1.73,28.24,24.68,7.34,0,0.58,0.41
9,20,11,19,2.74,35.06,94.89,9.05,0.16,0.21,0.74
10,2,1,1733,1.69,19.26,13.93,4.58,0,0.67,0.33
5,29,0,162,1.64,57.05,39.99,16.22,0.02,0.62,0.35
15,3,20,817,1.79,38.34,26.95,11.53,0.01,0.38,0.62
12,9,2,14,1.29,16.06,13.5,3.36,0,0.36,0.64
18,9,2,361,1.71,30.84,28.08,7.98,0,0.65,0.34
28,15,9,34,1.41,65.87,33.88,18.38,1,0.8,0.21
10,20,5,298,1.6,24.78,20.01,6.85,0,0.56,0.43
10,22,22,23,1.17,53.79,32.3,14.9,0,0.65,0.35
15,13,21,91,1.55,19.99,13.57,5.78,0.02,0.22,0.78
15,20,5,74,1.51,64.27,32.43,20.48,0.54,0.64,0.35
2,15,6,441,1.52,61.14,35.05,19.75,0.65,0.84,0.15
9,10,16,309,1.72,32.07,27.29,6.56,0.01,0.74,0.26
21,9,0,724,1.63,32.24,22.14,9.11,0,0.67,0.33
28,10,20,1116,1.65,12.61,10.48,2.27,0,0.53,0.46
28,20,15,149,1.62,15.18,17.83,3.12,0,0.48,0.52
15,12,16,230,1.72,40.21,33.19,11.12,0,0.31,0.68
2,9,1,1237,1.64,22.06,17.51,5.29,0,0.62,0.38
15,3,18,797,1.79,40.16,34.15,11.84,0.01,0.33,0.67
3,15,12,20,1.65,36.92,20.15,8.36,0.25,0.5,0.5
10,5,2,5123,1.69,15.51,12.12,3.38,0,0.65,0.34
15,12,18,228,1.82,38.41,31.78,11.05,0,0.32,0.68
2,5,23,9782,1.73,17.09,14.26,3.52,0,0.73,0.27
2,9,13,239,1.62,32.83,28.3,7.86,0,0.62,0.38
